path,label,label_id,n_frames
Apoyar\seq_0.npy,Apoyar,0,33
Apoyar\seq_1.npy,Apoyar,0,33
Apoyar\seq_10.npy,Apoyar,0,45
Apoyar\seq_11.npy,Apoyar,0,45
Apoyar\seq_12.npy,Apoyar,0,51
Apoyar\seq_13.npy,Apoyar,0,51
Apoyar\seq_14.npy,Apoyar,0,51
Apoyar\seq_15.npy,Apoyar,0,62
Apoyar\seq_16.npy,Apoyar,0,62
Apoyar\seq_17.npy,Apoyar,0,62
Apoyar\seq_18.npy,Apoyar,0,54
Apoyar\seq_19.npy,Apoyar,0,54
Apoyar\seq_2.npy,Apoyar,0,33
Apoyar\seq_20.npy,Apoyar,0,54
Apoyar\seq_21.npy,Apoyar,0,50
Apoyar\seq_22.npy,Apoyar,0,50
Apoyar\seq_23.npy,Apoyar,0,50
Apoyar\seq_24.npy,Apoyar,0,67
Apoyar\seq_25.npy,Apoyar,0,67
Apoyar\seq_26.npy,Apoyar,0,67
Apoyar\seq_27.npy,Apoyar,0,59
Apoyar\seq_28.npy,Apoyar,0,59
Apoyar\seq_29.npy,Apoyar,0,59
Apoyar\seq_3.npy,Apoyar,0,32
Apoyar\seq_30.npy,Apoyar,0,61
Apoyar\seq_31.npy,Apoyar,0,61
Apoyar\seq_32.npy,Apoyar,0,61
Apoyar\seq_33.npy,Apoyar,0,52
Apoyar\seq_34.npy,Apoyar,0,52
Apoyar\seq_35.npy,Apoyar,0,52
Apoyar\seq_36.npy,Apoyar,0,47
Apoyar\seq_37.npy,Apoyar,0,47
Apoyar\seq_38.npy,Apoyar,0,47
Apoyar\seq_39.npy,Apoyar,0,48
Apoyar\seq_4.npy,Apoyar,0,32
Apoyar\seq_40.npy,Apoyar,0,48
Apoyar\seq_41.npy,Apoyar,0,48
Apoyar\seq_42.npy,Apoyar,0,37
Apoyar\seq_43.npy,Apoyar,0,37
Apoyar\seq_44.npy,Apoyar,0,37
Apoyar\seq_45.npy,Apoyar,0,44
Apoyar\seq_46.npy,Apoyar,0,44
Apoyar\seq_47.npy,Apoyar,0,44
Apoyar\seq_48.npy,Apoyar,0,38
Apoyar\seq_49.npy,Apoyar,0,38
Apoyar\seq_5.npy,Apoyar,0,32
Apoyar\seq_50.npy,Apoyar,0,38
Apoyar\seq_51.npy,Apoyar,0,43
Apoyar\seq_52.npy,Apoyar,0,43
Apoyar\seq_53.npy,Apoyar,0,43
Apoyar\seq_54.npy,Apoyar,0,49
Apoyar\seq_55.npy,Apoyar,0,49
Apoyar\seq_56.npy,Apoyar,0,49
Apoyar\seq_57.npy,Apoyar,0,49
Apoyar\seq_58.npy,Apoyar,0,49
Apoyar\seq_59.npy,Apoyar,0,49
Apoyar\seq_6.npy,Apoyar,0,36
Apoyar\seq_60.npy,Apoyar,0,45
Apoyar\seq_61.npy,Apoyar,0,45
Apoyar\seq_62.npy,Apoyar,0,45
Apoyar\seq_63.npy,Apoyar,0,54
Apoyar\seq_64.npy,Apoyar,0,54
Apoyar\seq_65.npy,Apoyar,0,54
Apoyar\seq_66.npy,Apoyar,0,43
Apoyar\seq_67.npy,Apoyar,0,43
Apoyar\seq_68.npy,Apoyar,0,43
Apoyar\seq_69.npy,Apoyar,0,41
Apoyar\seq_7.npy,Apoyar,0,36
Apoyar\seq_70.npy,Apoyar,0,41
